name,neighbourhood,room_type,bedrooms,bathrooms,minimum_nights,price,availability_365,number_of_reviews,review_score,is_superhost
Stylish South End Apartment,South End,Entire home/apt,1.0,1.0,31,105.0,47,99,98.0,1
"Small room Easy to Downtown, Longwood Clean Sunny",Roxbury,Private room,1.0,2.0,91,33.0,365,11,98.0,0
"Exquisite 5 Rm Treetop Haven, JP Center, Driveway!",Jamaica Plain,Entire home/apt,2.0,1.0,2,207.0,199,36,99.0,1
Furnished 2BR | Spacious Floorplan | Fenway Area,Fenway,Entire home/apt,2.0,2.0,28,899.0,364,10,94.0,0
Cozy JP bedroom near Orange Line T,Jamaica Plain,Private room,1.0,2.0,91,161.0,179,25,93.0,0
Private Room near public transport,Roslindale,Private room,1.0,1.0,28,50.0,365,17,98.0,0
Quiet Convenient Retreat,Jamaica Plain,Private room,1.0,1.0,1,75.0,89,10,92.0,0
Cozy  Apt. 20 Minutes  from Downtown,Roslindale,Entire home/apt,2.0,1.0,2,200.0,173,42,100.0,1
Private bedroom,East Boston,Private room,1.0,1.0,91,71.0,0,17,99.0,0
Spacious North End 1 BR | 1BA,North End,Entire home/apt,1.0,1.0,10,175.0,350,257,99.0,1
1bd apartment close to commuter rail and bus stop,Hyde Park,Entire home/apt,1.0,1.0,91,68.0,309,12,98.0,1
M&R - Front Bedroom Bathroom Parking - Walk to T!,Dorchester,Private room,1.0,1.0,2,74.0,323,131,96.0,1
M&R Quiet Back Room Parking Bathroom,Dorchester,Private room,1.0,1.0,2,60.0,359,194,98.0,1
One Bedroom right by Fenway Park,Back Bay,Entire home/apt,1.0,1.0,91,135.0,0,15,100.0,0
Light and airy separate apt in funky Jamaica Plain,Jamaica Plain,Entire home/apt,1.0,1.0,2,111.0,124,228,98.0,1
Bright home with lots of character!,Dorchester,Entire home/apt,3.0,2.0,91,100.0,53,23,90.0,0
Spacious and Sunny Brookline Apartment,Brighton,Entire home/apt,3.0,1.0,3,285.0,0,172,99.0,1
Private apartment with cozy garden. STR-398119,South Boston,Entire home/apt,1.0,1.0,3,100.0,326,270,97.0,1
"Beautiful 2Bedroom in the South End, Garden Unit",South End,Entire home/apt,2.0,1.0,3,153.0,66,113,91.0,0
