station_name,latitude,longitude
Park St at Norwell St,42.29208959672596,-71.0784115619208
Boylston St at Dartmouth St,42.350413,-71.07655
Massachusetts Ave at Columbus Ave,42.340542615516355,-71.08138847914233
Norman St at Kelvin St,42.411432229734075,-71.06823265090497
Park St at Norwell St,42.2944167,-71.0783056
Government Center - Cambridge St at Court St,42.35980251599553,-71.05960782626425
Main St at Beacon St,42.4093300667225,-71.06381878293179
Ferry St at Pleasantview Ave,42.412504507772105,-71.05842225271772
Norman St at Kelvin St,42.40985877544303,-71.06631867605756
Boylston St at Massachusetts Ave,42.347265,-71.088088
Washington St at Waltham St,42.341559849724604,-71.06886953115462
Cambridge St at Joy St,42.361211653079856,-71.06530619789737
Magoun Square at Trum Field,42.39836500000001,-71.10781800000002
Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663
Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960631
Airport T Stop - Bremen St at Brooks St,42.37408320248276,-71.03274185079498
Washington St at Myrtle St,42.380997997562794,-71.08721308428358
Somerville Hospital,42.39678588551017,-71.1023729667977
Boylston St at Arlington St,42.35258779507021,-71.06764905172895
Craigie at Summer St,42.38363402274288,-71.10855814078604
Ball Sq,42.397822126245096,-71.1060666978301
MTL-ECO4-01,0.0,0.0
Union Square - Somerville,42.37967148149253,-71.0954931006745
Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025
Innovation Lab - 125 Western Ave at Batten Way,42.363732,-71.124565
Mobile Temporary Station 1,42.35147849233603,-71.044162200742
